

"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"08/11/2022";"0000";"22,3";"22,5";"22,3";"70,0";"71,0";"69,0";"16,6";"16,8";"16,6";"1002,3";"1002,3";"1001,6";"2,4";"84,0";"5,0";"";"0,0"
"08/11/2022";"0100";"22,2";"22,4";"22,2";"71,0";"71,0";"69,0";"16,7";"16,7";"16,5";"1002,5";"1002,7";"1002,3";"1,7";"110,0";"5,0";"";"0,0"
"08/11/2022";"0200";"22,0";"22,2";"21,9";"74,0";"74,0";"71,0";"17,1";"17,1";"16,7";"1002,4";"1002,9";"1002,4";"1,2";"89,0";"3,0";"";"0,0"
"08/11/2022";"0300";"21,8";"22,0";"21,8";"74,0";"74,0";"73,0";"16,9";"17,1";"16,9";"1001,7";"1002,5";"1001,7";"0,9";"117,0";"2,6";"";"0,0"
"08/11/2022";"0400";"21,7";"21,8";"21,7";"74,0";"75,0";"74,0";"16,9";"17,1";"16,9";"1001,1";"1001,8";"1001,1";"1,2";"112,0";"2,8";"";"0,0"
"08/11/2022";"0500";"21,5";"21,7";"21,4";"76,0";"77,0";"74,0";"17,0";"17,2";"16,9";"1000,9";"1001,2";"1000,9";"0,8";"142,0";"2,9";"";"0,0"
"08/11/2022";"0600";"21,3";"21,5";"21,3";"75,0";"76,0";"74,0";"16,6";"17,0";"16,5";"1000,3";"1000,9";"1000,3";"0,7";"183,0";"2,8";"";"0,0"
"08/11/2022";"0700";"20,8";"21,4";"20,7";"78,0";"79,0";"74,0";"16,9";"17,0";"16,4";"1000,8";"1000,8";"1000,3";"0,6";"338,0";"1,9";"";"0,0"
"08/11/2022";"0800";"21,0";"21,0";"20,6";"78,0";"81,0";"77,0";"17,0";"17,2";"16,8";"1001,4";"1001,4";"1000,8";"0,5";"175,0";"2,2";"";"0,0"
"08/11/2022";"0900";"21,4";"21,4";"20,8";"75,0";"79,0";"75,0";"16,7";"17,1";"16,7";"1002,1";"1002,1";"1001,4";"0,8";"135,0";"2,2";"46,60";"0,0"
"08/11/2022";"1000";"22,1";"22,1";"21,2";"71,0";"77,0";"71,0";"16,7";"17,3";"16,5";"1002,5";"1002,5";"1002,1";"0,9";"130,0";"2,1";"373,60";"0,0"
"08/11/2022";"1100";"23,8";"24,3";"21,9";"66,0";"72,0";"63,0";"17,0";"17,5";"15,8";"1002,8";"1002,8";"1002,5";"1,6";"122,0";"4,1";"1440,80";"0,0"
"08/11/2022";"1200";"24,4";"24,8";"23,3";"62,0";"67,0";"62,0";"16,8";"17,6";"16,4";"1002,9";"1003,1";"1002,7";"1,6";"128,0";"4,1";"1784,20";"0,0"
"08/11/2022";"1300";"25,5";"26,2";"24,1";"58,0";"64,0";"57,0";"16,7";"17,8";"16,5";"1002,5";"1002,9";"1002,4";"2,3";"73,0";"5,2";"2595,80";"0,0"
"08/11/2022";"1400";"27,0";"27,5";"25,5";"54,0";"60,0";"53,0";"16,9";"17,9";"16,2";"1001,7";"1002,5";"1001,7";"2,7";"60,0";"5,8";"3414,30";"0,0"
"08/11/2022";"1500";"27,9";"28,2";"26,2";"52,0";"58,0";"50,0";"17,2";"17,7";"15,9";"1000,8";"1001,7";"1000,8";"2,4";"73,0";"5,8";"3147,30";"0,0"
